# Total Energy
# X-Axis:  Optimization Step Number
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        1.0000000000     -795.2950040660
        2.0000000000     -795.3312243750
        3.0000000000     -795.3499322520
        4.0000000000     -795.3588138800
        5.0000000000     -795.3640040150
        6.0000000000     -795.3661476960
        7.0000000000     -795.3689985670
        8.0000000000     -795.3718205560
        9.0000000000     -795.3688079620
       10.0000000000     -795.3747258740
       11.0000000000     -795.3774133560
       12.0000000000     -795.3806614490
       13.0000000000     -795.3822686770
       14.0000000000     -795.3831680060
       15.0000000000     -795.3841344780
       16.0000000000     -795.3845456860
       17.0000000000     -795.3847166900
       18.0000000000     -795.3847920210
       19.0000000000     -795.3848746570
       20.0000000000     -795.3850985360
       21.0000000000     -795.3436480290
       22.0000000000     -795.3851573770
       23.0000000000     -795.3860002940
       24.0000000000     -795.3870482220
       25.0000000000     -795.3880524200
       26.0000000000     -795.3886679510
       27.0000000000     -795.3890514740
       28.0000000000     -795.3892210700
       29.0000000000     -795.3892679430
       30.0000000000     -795.3892733520
       31.0000000000     -795.3892744790
       32.0000000000     -795.3892748450
       33.0000000000     -795.3892750300
       34.0000000000     -795.3892751230
       35.0000000000     -795.3892751880
       36.0000000000     -795.3892751880
